NAME;Type;RA;DEC;RA (deg);DEC (deg);l (deg);b (deg)
J0023+0923;BW;00h23m16.890;09d23m24.18;5.82;9.39;111.38319;-52.849184
J0024-7204I;BW;00h24m07.9333;-72d04m39.669;6.03305;-72.07768;305.8915;-44.8933
J0024-7204J;BW;00h23m59.40735;-72d03m58.7914;5.99753;-72.06633;305.90918;-44.90291
J0024-7204O;BW;00h24m04.637;-72d04m53.71;6.01932;-72.081586;305.89659;-44.8888
J0024-7204P;BW;00h24m20.0;-72d04m10;6.08333;-72.06944;305.8716;-44.9038
J0024-7204R;BW;00h24m05.670;-72d04m52.62;6.023625;-72.08128;305.8948;-44.8893
J0024-7204V;RB;00h24m05.359;-72d04m53.20;6.022329;-72.08144;305.8953;-44.8891
J0024-7204W;RB;00h24m06.058;-72d04m49.088;6.02524;-72.0803;305.8943;-44.8904
J0024-7204ac;BW;00h24m04.0;-72d05m04;6.02;-72.07;305.8971;-44.8859
J0024-7204ad;RB;00h24m04.0;-72d05m04;6.02;-72.07;305.8971;-44.8859
J0212+5321;RB;02h12m10.4774;53d21m38.7782;33.04;53.36;134.9222;-7.6209
J0251+2606;BW;02h51m02.1;26d05m37;42.76;26.10;153.8842;-29.4943
J0312-0921;BW;03h12m06.7;-09h21m15;48.03;-9.35;191.4957;-52.37
J0336.0+7502;BW;03h36m06;75d03m00;54.03;75.05;133.0828;15.5279
J0348+0432;BW;03h48m43.639;04d32m11.458;57.18;4.54;183.337;-36.774
J0427.9-6704;RB;04h27m49.2;-67d04m34;66.96;-67.08;279.1381;-38.5549
J0523.5-2529;RB;05h23m12.78;-25d31m54.9;80.80;-25.53;228.2511;-29.8746
J0610-2100;BW;06h10m13.59;-21d00m28.016;92.56;-21.01;227.7465;-18.1836
J0636+5128;BW;06h36m04.8464;51d28m59.9625;99.02;51.48;163.908575;18.642585
J0838.8-2829;RB;08h38m30.15;-28d25m55.5;129.63;-28.43;250.5167;7.7795
J0846.0+2820;RB;08h46m02.6;28d20m53;131.51;28.35;196.3364;36.3041
J0940.3-7610;RB;09h43m24.0288;-76d20m10.3613;145.85;-76.34;292.4971;-17.4409
J0952-0607;BW;09h52m08.319;-06d07m23.49;148.03;-6.12;243.651549;35.380119
J0955-3947;RB;09h55m23.2;ß39d49m14;148.87;-39.80;269.9334;11.5135
J1023+0038;RB;10h23m47.684182;00d38m41.00589;155.95;0.64;243.4895;45.78228
J1048+2339;RB;10h48m43.43395;23d39m53.5774;162.18;23.66;213.17212;62.13957
J1124-3653;BW;11h24m00;-36d00m00;171.00;-36.89;283.7423;23.5923
